,Unnamed: 0,date,text,likes
0,0,12/31/14,"Gold prices ended down for second year in a row, weighed down by investors' expectations of higher U.S. interest rates and tame inflation around the world.</br></br>Gold for February delivery, the most actively traded contract, closed down $16.30, at $1,184.10 a troy ounce on the Comex division of the New York Mercantile Exchange. Prices fell 1.5% for the year.</br></br>A stronger dollar weighed on gold Wednesday, making the metal more expensive for buyers holding other currencies. The WSJ Dollar Index, which gauges the dollar against other major currencies, was recently up 0.4%, at 83.00.</br></br>""The way things stand, I would be looking to sell into any rallies from here,"" said Bob Haberkorn, a broker at RJO Futures. ""Gold will continue to be weak because of rate expectations.""</br></br>An improving U.S. economy has sparked expectations that the Federal Reserve will raise interest rates in 2015, a move that would hurt gold, which struggles to compete with yield-bearing investments in times of tighter monetary policy. At the same time, inflation has been elusive in the world's major economies, reducing gold's attractiveness as a hedge against rising consumer prices.",202.0
1,1,12/26/14,"Gold prices rose Friday, as investors locked in profits on bets for the precious metal's decline in a thinly traded market.</br></br>Gold for February delivery, the most actively traded contract, closed up $21.80, or 1.9%, at $1,195.30 a troy ounce on the Comex division of the New York Mercantile Exchange. It was the highest settlement since Dec. 19.</br></br>Prices for the precious metal are down 3% from December's highs, as a swiftly improving U.S. economy has raised concerns that the Federal Reserve will lift interest rates sooner than expected in 2015. Gold struggles to compete with yield-bearing investments when rates rise.</br></br>On Friday, some investors appeared to be buying gold to cover their bets on a decline in prices, while others were looking for bargains after the metal's drop, analysts said.</br></br>""Thin, postholiday trading conditions are likely exacerbating the bigger daily price move,"" said Jim Wyckoff, an analyst at Kitco.com, in a note to clients. ""Many traders and investors have checked out for the week, if not for the rest of the year.""",894.0
2,2,12/24/14,"The dollar gained against the yen and the euro on Tuesday after the U.S. economy grew at the fastest pace in 11 years, bolstering the market's expectations for higher interest rates.</br></br>The dollar increased 0.6% in late-afternoon trade to 120.77 yen, a two-week high. The euro pushed to a more than two-year low in early trade and was recently down 0.5% to $1.2169.</br></br>U.S. gross domestic product grew 5% in the third quarter, well above last month's estimate of 3.9%, the Commerce Department said Tuesday. It was the fastest pace since GDP grew 6.9% during the third quarter of 2003.</br></br>The GDP data encouraged investors who have been betting that a recovering U.S. economy would spur the Federal Reserve to raise interest rates before other major central banks do. Higher U.S. rates would bring more investors to the dollar, as they would increase returns on assets denominated in the currency.</br></br>""With 5% growth in the U.S. now, even if we don't improve at that pace next quarter, we're still light years ahead of the eurozone and Japan,"" said Joseph Quinlan, chief market strategist at U.S. Trust Private Wealth Management.",2202.0
3,3,12/23/14,"The dollar gained against the yen and the euro on Tuesday after the U.S. economy grew at , bolstering the market's expectations for higher interest rates.</br></br>The dollar increased 0.6% in late-afternoon trade to 120.77 yen, a two-week high. The euro pushed to a more than two-year low in early trade and was recently down 0.5% to $1.2169.</br></br>U.S. gross domestic product grew 5% in the third quarter, well above last month's estimate of 3.9%, the Commerce Department said Tuesday. It was the fastest pace since GDP grew 6.9% during the third quarter of 2003.</br></br>The GDP data encouraged investors who have been betting that a recovering U.S. economy would spur the Federal Reserve to raise interest rates before other major central banks do. Higher U.S. rates would bring more investors to the dollar, as they would increase returns on assets denominated in the currency.</br></br>""With 5% growth in the U.S. now, even if we don't improve at that pace next quarter, we're still light years ahead of the eurozone and Japan,"" said Joseph Quinlan, chief market strategist at U.S. Trust Private Wealth Management. ""It sets us up for Fed tightening by the second half of next year.""",4550.0
4,4,12/23/14,"Gold prices fell Tuesday, weighed down by a larger-than-expected revision to U.S. economic growth.</br></br>Gold for February delivery, the most actively traded contract, closed down $1.80, or 0.2%, at $1,178.00 a troy ounce on the Comex division of the New York Mercantile Exchange.</br></br>The U.S. economy posted its strongest growth in more than a decade during the third quarter, supported by robust consumer spending and business investment, Commerce Department data showed Tuesday. Gross domestic product growth was revised to 5% in the period, beating analysts' expectations of 4.3% expansion.</br></br>The economy's robust expansion bolstered the case for the Federal Reserve to raise interest rates next year, hurting prices for gold, which struggles to compete with yield-bearing investments during times of tighter monetary policy.</br></br>""Gold didn't like this number at all,"" said Bob Haberkorn, a broker at RJO Futures. ""There is now more ammo for the Fed to raise rates.""",2260.0
5,5,12/22/14,"WASHINGTON--Sales of previously owned homes tumbled to a six-month low in November, a sign the housing market continues to underperform despite a burst of stronger economic growth.</br></br>Existing-home sales declined 6.1% in November from a month earlier to a seasonally adjusted annual rate of 4.93 million, the National Association of Realtors said Monday. That was the lowest level since May.</br></br>November's sales were 2.1% higher than a year ago and followed a particularly strong October, when sales reached their highest level of the year.</br></br>NAR chief economist Lawrence Yun called last month's decline puzzling given strong job creation, rising consumer confidence, low interest rates and near-record stock-market levels. ""Factors for improving home sales are rising,"" Mr. Yun said. ""Today's decline, which is a large decline, is a bit puzzling, and I think it will be a one-month aberration.""</br></br>He pointed to several possible reasons for the latest drop. Tightening inventory levels, exacerbated by weak home construction, have left consumers with fewer choices. And stock-market volatility in October may have rattled prospective buyers.",1425.0
6,6,12/22/14,"Benchmark Treasury bonds strengthened on Monday, underscoring the appeal of highly-liquid assets as the end of the year approaches.</br></br>In late-afternoon trading, the yield on the benchmark 10-year note fell to 2.157% from 2.178% Friday.</br></br>When bond yields fall, their yields rise.</br></br>Traders said the buying reflected some tweaking of bond portfolios and that the price moves might have been exaggerated by thinner trading before Thursday's Christmas holiday.</br></br>""It just shows a continuation of demand for longer-dated Treasury bonds'' which have rallied during the course of 2014, said Scott Buchta, head of fixed-income strategy at Brean Capital LLC. ""Trading volumes have begun to settle down as many accounts begin to close out their books for 2014.""",862.0
7,7,12/21/14,"The elastic U.S. stock market keeps snapping back, but last week's surge is deepening concerns about a possible stock-price stumble in early 2015.</br></br>A burst of buying by mutual-fund managers and other investors who are trying to catch up with the overall stock market's climb this year helped spark a 736-point jump by the Dow Jones Industrial Average from Wednesday through Friday.</br></br>Three straight days of gains left the blue chip stock index at 17804.80, or less than 1% below its record of 17958.79 reached Dec. 5. The surge came right after an 890-point slide that included declines in six out of seven trading days.</br></br>Fuel for last week's stock-market gains came from investor confidence that the U.S. economic recovery is for real, inflation will stay low and interest-rate increases expected from the Federal Reserve next year won't end the bull market.</br></br>Another source of upward momentum for stocks is causing jitters, though. Many money managers whose recent performance lags behind the overall market are hoping for a last-minute boost from pumping cash into especially fast-rising stocks, investment strategists say.",647.0
8,8,12/17/14,"The dollar slumped to a one-month low against the yen on Tuesday, as tumbling oil prices continued to fuel investors' concerns about global growth.</br></br>The dollar fell 1.2% in late-afternoon trading to 116.35 yen, its lowest in a month. The euro gained 0.6% to $1.2512, its strongest since Nov. 27.</br></br>Global oil prices fell for a fifth session in a row, with Brent crude futures ending at $59.86 a barrel, the lowest in more than five years.</br></br>Some investors are worried that oil's drop signals a softening global economy, prompting them to shed their bets on a stronger dollar and buy haven assets such as the Japanese yen and U.S. Treasurys.</br></br>""The concern is that the decline in oil prices will be more persistent, and that this will start to hurt economies and change central banks' behavior,"" said Sireen Harajli, foreign-exchange strategist at Mizuho Bank. ""So investors have headed into assets that are considered safer, like the yen and the Swiss franc, which is why we see [the dollar-yen pair] back around 116 yen.""",4645.0
9,9,12/16/14,"Activity in the eurozone's private sector picked up only modestly in December, according to surveys of purchasing managers, an indication that the currency area's economy is ending the year on a weak footing.</br></br>The surveys also found that businesses again cut their prices in the face of weak demand, a development that will concern the European Central Bank, which is struggling to raise the currency area's inflation rate from the very low level it has settled at for more than a year.</br></br>Data firm Markit on Tuesday said its composite purchasing managers index--a measure of activity in the manufacturing and services sectors in the currency bloc--rose to 51.7 in December from 51.1 in November. A reading below 50.0 indicates activity is declining, while a reading above that level indicates it is increasing.</br></br>Preliminary results from Markit's survey of 5,000 manufacturers and service providers also showed that a significant pickup in activity is unlikely in the coming months, with new orders up only marginally following November's decline.</br></br>The surveys also found that businesses continued to cut their prices, although at a slightly less aggressive pace.",1941.0
